,movie,year,imdb,metascore,votes
1125,Lion,(2016),8.0,69,204740
1126,Jason Bourne,(I) (2016),6.6,58,202745
1127,Ghostbusters,(2016),5.2,60,198858
1128,Me Before You,(2016),7.4,51,197884
1129,Hell or High Water,(II) (2016),7.6,88,196234
1130,Hidden Figures,(2016),7.8,74,191554
1131,Assassin's Creed,(2016),5.7,36,180348
1132,Captain Fantastic,(2016),7.9,72,180221
1133,The Magnificent Seven,(2016),6.9,54,180103
1134,The Secret Life of Pets,(2016),6.5,61,178269
1135,Your Name.,(2016),8.4,79,174128
1136,Sausage Party,(2016),6.1,66,170858
1137,War Dogs,(2016),7.1,57,170663
1138,The Promise,(II) (2016),6.0,49,166733
1139,The Girl on the Train,(2016),6.5,48,163848
1140,Independence Day: Resurgence,(2016),5.2,32,163140
1141,The Legend of Tarzan,(2016),6.2,44,159738
1142,Deadpool,(2016),8.0,65,877108
1143,Captain America: Civil War,(2016),7.8,75,639744
1144,Batman v Superman: Dawn of Justice,(2016),6.4,44,608822
1145,Suicide Squad,(2016),6.0,40,582659
1146,Doctor Strange,(2016),7.5,72,574161
1147,Arrival,(II) (2016),7.9,81,570780
1148,Rogue One: A Star Wars Story,(2016),7.8,65,535211
1149,La La Land,(2016),8.0,94,483880
1150,Zootopia,(2016),8.0,78,417932
1151,Hacksaw Ridge,(2016),8.1,71,413934
1152,Split,(IX) (2016),7.3,62,405200
1153,Fantastic Beasts and Where to Find Them,(2016),7.3,66,395881
1154,X-Men: Apocalypse,(2016),6.9,52,382273
1155,Passengers,(I) (2016),7.0,41,337852
1156,10 Cloverfield Lane,(2016),7.2,76,281364
1157,The Nice Guys,(2016),7.4,70,267240
1158,Moonlight,(I) (2016),7.4,99,260750
1159,Moana,(I) (2016),7.6,81,257338
1160,The Jungle Book,(2016),7.4,77,253854
1161,The Accountant,(2016),7.3,51,251806
1162,Now You See Me 2,(2016),6.5,46,238780
1163,Warcraft,(2016),6.8,32,237216
1164,Manchester by the Sea,(2016),7.8,96,236444
1165,Finding Dory,(2016),7.3,77,231855
1166,Sully,(2016),7.4,74,227409
1167,Nocturnal Animals,(2016),7.5,67,227306
1168,Star Trek Beyond,(2016),7.1,68,221899
1169,The Conjuring 2,(2016),7.3,65,216243
1170,Don't Breathe,(2016),7.1,71,210251
1171,Lion,(2016),8.0,69,204740
1172,Jason Bourne,(I) (2016),6.6,58,202745
1173,Ghostbusters,(2016),5.2,60,198858
1174,Me Before You,(2016),7.4,51,197884
1175,Hell or High Water,(II) (2016),7.6,88,196234
1176,Hidden Figures,(2016),7.8,74,191554
1177,Assassin's Creed,(2016),5.7,36,180348
1178,Captain Fantastic,(2016),7.9,72,180221
1179,The Magnificent Seven,(2016),6.9,54,180103
1180,The Secret Life of Pets,(2016),6.5,61,178269
1181,Your Name.,(2016),8.4,79,174128
1182,Sausage Party,(2016),6.1,66,170858
1183,War Dogs,(2016),7.1,57,170663
1184,The Promise,(II) (2016),6.0,49,166733
1185,The Girl on the Train,(2016),6.5,48,163848
1186,Independence Day: Resurgence,(2016),5.2,32,163140
1187,The Legend of Tarzan,(2016),6.2,44,159738
1188,Deadpool,(2016),8.0,65,877108
1189,Captain America: Civil War,(2016),7.8,75,639744
1190,Batman v Superman: Dawn of Justice,(2016),6.4,44,608822
1191,Suicide Squad,(2016),6.0,40,582659
1192,Doctor Strange,(2016),7.5,72,574161
1193,Arrival,(II) (2016),7.9,81,570780
1194,Rogue One: A Star Wars Story,(2016),7.8,65,535211
1195,La La Land,(2016),8.0,94,483880
1196,Zootopia,(2016),8.0,78,417932
1197,Hacksaw Ridge,(2016),8.1,71,413934
1198,Split,(IX) (2016),7.3,62,405200
1199,Fantastic Beasts and Where to Find Them,(2016),7.3,66,395881
1200,X-Men: Apocalypse,(2016),6.9,52,382273
1201,Passengers,(I) (2016),7.0,41,337852
1202,10 Cloverfield Lane,(2016),7.2,76,281364
1203,The Nice Guys,(2016),7.4,70,267240
1204,Moonlight,(I) (2016),7.4,99,260750
1205,Moana,(I) (2016),7.6,81,257338
1206,The Jungle Book,(2016),7.4,77,253854
1207,The Accountant,(2016),7.3,51,251806
1208,Now You See Me 2,(2016),6.5,46,238780
1209,Warcraft,(2016),6.8,32,237216
1210,Manchester by the Sea,(2016),7.8,96,236444
1211,Finding Dory,(2016),7.3,77,231855
1212,Sully,(2016),7.4,74,227409
1213,Nocturnal Animals,(2016),7.5,67,227306
1214,Star Trek Beyond,(2016),7.1,68,221899
1215,The Conjuring 2,(2016),7.3,65,216243
1216,Don't Breathe,(2016),7.1,71,210251
1217,Lion,(2016),8.0,69,204740
1218,Jason Bourne,(I) (2016),6.6,58,202745
1219,Ghostbusters,(2016),5.2,60,198858
1220,Me Before You,(2016),7.4,51,197884
1221,Hell or High Water,(II) (2016),7.6,88,196234
1222,Hidden Figures,(2016),7.8,74,191554
1223,Assassin's Creed,(2016),5.7,36,180348
1224,Captain Fantastic,(2016),7.9,72,180221
1225,The Magnificent Seven,(2016),6.9,54,180103
1226,The Secret Life of Pets,(2016),6.5,61,178269
1227,Your Name.,(2016),8.4,79,174128
1228,Sausage Party,(2016),6.1,66,170858
1229,War Dogs,(2016),7.1,57,170663
1230,The Promise,(II) (2016),6.0,49,166733
1231,The Girl on the Train,(2016),6.5,48,163848
1232,Independence Day: Resurgence,(2016),5.2,32,163140
1233,The Legend of Tarzan,(2016),6.2,44,159738
1234,Deadpool,(2016),8.0,65,877108
1235,Captain America: Civil War,(2016),7.8,75,639744
1236,Batman v Superman: Dawn of Justice,(2016),6.4,44,608822
1237,Suicide Squad,(2016),6.0,40,582659
1238,Doctor Strange,(2016),7.5,72,574161
1239,Arrival,(II) (2016),7.9,81,570780
1240,Rogue One: A Star Wars Story,(2016),7.8,65,535211
1241,La La Land,(2016),8.0,94,483880
1242,Zootopia,(2016),8.0,78,417932
1243,Hacksaw Ridge,(2016),8.1,71,413934
1244,Split,(IX) (2016),7.3,62,405200
1245,Fantastic Beasts and Where to Find Them,(2016),7.3,66,395881
1246,X-Men: Apocalypse,(2016),6.9,52,382273
1247,Passengers,(I) (2016),7.0,41,337852
1248,10 Cloverfield Lane,(2016),7.2,76,281364
1249,The Nice Guys,(2016),7.4,70,267240
1250,Moonlight,(I) (2016),7.4,99,260750
1251,Moana,(I) (2016),7.6,81,257338
1252,The Jungle Book,(2016),7.4,77,253854
1253,The Accountant,(2016),7.3,51,251806
1254,Now You See Me 2,(2016),6.5,46,238780
1255,Warcraft,(2016),6.8,32,237216
1256,Manchester by the Sea,(2016),7.8,96,236444
1257,Finding Dory,(2016),7.3,77,231855
1258,Sully,(2016),7.4,74,227409
1259,Nocturnal Animals,(2016),7.5,67,227306
1260,Star Trek Beyond,(2016),7.1,68,221899
1261,The Conjuring 2,(2016),7.3,65,216243
1262,Don't Breathe,(2016),7.1,71,210251
1263,Lion,(2016),8.0,69,204740
1264,Jason Bourne,(I) (2016),6.6,58,202745
1265,Ghostbusters,(2016),5.2,60,198858
1266,Me Before You,(2016),7.4,51,197884
1267,Hell or High Water,(II) (2016),7.6,88,196234
1268,Hidden Figures,(2016),7.8,74,191554
1269,Assassin's Creed,(2016),5.7,36,180348
1270,Captain Fantastic,(2016),7.9,72,180221
1271,The Magnificent Seven,(2016),6.9,54,180103
1272,The Secret Life of Pets,(2016),6.5,61,178269
1273,Your Name.,(2016),8.4,79,174128
1274,Sausage Party,(2016),6.1,66,170858
1275,War Dogs,(2016),7.1,57,170663
1276,The Promise,(II) (2016),6.0,49,166733
1277,The Girl on the Train,(2016),6.5,48,163848
1278,Independence Day: Resurgence,(2016),5.2,32,163140
1279,The Legend of Tarzan,(2016),6.2,44,159738
1280,Logan,(2017),8.1,77,622306
1281,Thor: Ragnarok,(2017),7.9,74,558909
1282,Guardians of the Galaxy Vol. 2,(2017),7.6,67,545388
1283,Star Wars: Episode VIII - The Last Jedi,(2017),7.0,84,544126
1284,Wonder Woman,(2017),7.4,76,531968
1285,Dunkirk,(2017),7.9,94,524274
1286,Spider-Man: Homecoming,(2017),7.4,73,489766
1287,Get Out,(I) (2017),7.7,85,466732
1288,It,(I) (2017),7.3,69,438591
1289,Blade Runner 2049,(2017),8.0,81,435976
1290,Baby Driver,(2017),7.6,86,417348
